TimeStamp,FDR620,FDR623,FDR634
00:08.2,59.9873,59.987,59.9878
00:08.3,59.9872,59.9863,59.9868
00:08.4,59.9871,59.9856,59.9862
00:08.5,59.9874,59.9852,59.9863
00:08.6,59.9861,59.9853,59.9865
00:08.7,59.986,59.9842,59.9857
00:08.8,59.9856,59.9835,59.9852
00:08.9,59.9851,59.9833,59.9852
00:09.0,59.9849,59.983,59.985
00:09.1,59.9853,59.9822,59.9847
00:09.2,59.9845,59.9821,59.9843
00:09.3,59.9843,59.9818,59.9843
00:09.4,59.9843,59.982,59.9846
00:09.5,59.9844,59.9815,59.9838
00:09.6,59.9844,59.9822,59.984
00:09.7,59.9852,59.9821,59.9843
00:09.8,59.9837,59.982,59.9837
00:09.9,59.985,59.9828,59.9848
00:10.0,59.9851,59.9834,59.9841
00:10.1,59.9849,59.9836,59.9854
00:10.2,59.9849,59.9835,59.9853
00:10.3,59.9852,59.9837,59.9847
00:10.4,59.985,59.9844,59.985
00:10.5,59.9855,59.984,59.9844
00:10.6,59.9842,59.9851,59.9846
00:10.7,59.9849,59.9847,59.9834
00:10.8,59.9839,59.9856,59.984
00:10.9,59.9846,59.9855,59.9842
00:11.0,59.9834,59.986,59.9838
00:11.1,59.9833,59.9862,59.9833
00:11.2,59.9832,59.9861,59.9828
00:11.3,59.9818,59.9862,59.9831
00:11.4,59.9822,59.9858,59.9819
00:11.5,59.9825,59.986,59.9818
00:11.6,59.9821,59.986,59.9823
00:11.7,59.9814,59.9849,59.9821
00:11.8,59.9817,59.9853,59.982
00:11.9,59.982,59.9852,59.9823
00:12.0,59.982,59.9848,59.9824
00:12.1,59.9821,59.9838,59.9825
00:12.2,59.9829,59.9838,59.9818
00:12.3,59.9825,59.9835,59.9826
00:12.4,59.9827,59.9831,59.9827
00:12.5,59.9831,59.9826,59.983
00:12.6,59.9838,59.9824,59.9829
00:12.7,59.9839,59.9821,59.983
00:12.8,59.9834,59.9815,59.9836
00:12.9,59.9833,59.9814,59.9841
00:13.0,59.9837,59.9815,59.984
00:13.1,59.9835,59.9804,59.9834
00:13.2,59.9832,59.9808,59.9835
00:13.3,59.9833,59.98,59.9835
00:13.4,59.9824,59.9795,59.9834
00:13.5,59.9838,59.9789,59.9829
00:13.6,59.9829,59.9794,59.9828
00:13.7,59.9833,59.9795,59.9824
00:13.8,59.9832,59.9788,59.9826
00:13.9,59.9832,59.9788,59.9825
00:14.0,59.9822,59.9797,59.9821
00:14.1,59.9822,59.9789,59.9816
00:14.2,59.9821,59.979,59.9815
00:14.3,59.9821,59.9791,59.9814
00:14.4,59.9817,59.9794,59.9813
00:14.5,59.9823,59.9799,59.9812
00:14.6,59.9813,59.9798,59.9809
00:14.7,59.9805,59.9809,59.9813
00:14.8,59.9811,59.9812,59.9806
00:14.9,59.9796,59.9812,59.981
00:15.0,59.9812,59.9823,59.9813
00:15.1,59.981,59.9821,59.9814
00:15.2,59.9811,59.9827,59.9813
00:15.3,59.9819,59.9828,59.9815
00:15.4,59.9809,59.9831,59.9818
00:15.5,59.982,59.9829,59.9821
00:15.6,59.9813,59.9829,59.9813
00:15.7,59.9819,59.983,59.9815
00:15.8,59.9809,59.9825,59.9809
00:15.9,59.9804,59.9826,59.9806
00:16.0,59.9802,59.9823,59.9803
00:16.1,59.9808,59.9819,59.9796
00:16.2,59.9808,59.9822,59.9791
00:16.3,59.9795,59.981,59.9792
00:16.4,59.9801,59.9809,59.9787
00:16.5,59.98,59.9802,59.9789
00:16.6,59.9792,59.98,59.9791
00:16.7,59.9793,59.9804,59.9798
00:16.8,59.9796,59.9792,59.9795
00:16.9,59.98,59.9796,59.979
00:17.0,59.9794,59.9797,59.9789
00:17.1,59.9793,59.9795,59.9795
00:17.2,59.9798,59.979,59.9789
00:17.3,59.9798,59.9793,59.9792
00:17.4,59.9788,59.9789,59.9794
00:17.5,59.9804,59.9784,59.9796
00:17.6,59.9783,59.9784,59.98
00:17.7,59.9806,59.9788,59.98
00:17.8,59.9788,59.9782,59.98
00:17.9,59.9809,59.9781,59.9798
00:18.0,59.9799,59.9785,59.9806
00:18.1,59.9818,59.9789,59.9804
00:18.2,59.9806,59.9783,59.9804
00:18.3,59.98,59.9783,59.9797
00:18.4,59.9817,59.9782,59.9795
00:18.5,59.9788,59.9779,59.9791
00:18.6,59.9791,59.9783,59.979
00:18.7,59.9796,59.9788,59.9779
00:18.8,59.9774,59.9778,59.978
00:18.9,59.9778,59.978,59.9777
00:19.0,59.9771,59.9782,59.9765
00:19.1,59.9765,59.9777,59.9759
00:19.2,59.9761,59.9776,59.9757
00:19.3,59.9767,59.9777,59.9754
00:19.4,59.9757,59.978,59.9751
00:19.5,59.9765,59.9772,59.9753
00:19.6,59.9756,59.9774,59.9759
00:19.7,59.9764,59.9776,59.9761
00:19.8,59.9762,59.9775,59.9769
00:19.9,59.9769,59.9772,59.9769
00:20.0,59.9769,59.9777,59.9768
00:20.1,59.9771,59.9771,59.977
00:20.2,59.9773,59.9776,59.9773
00:20.3,59.9774,59.9776,59.977
00:20.4,59.9768,59.977,59.9774
00:20.5,59.9772,59.9775,59.9772
00:20.6,59.9771,59.9767,59.9773
00:20.7,59.9771,59.9768,59.9774
00:20.8,59.9774,59.9766,59.9775
00:20.9,59.9775,59.9763,59.9774
00:21.0,59.9761,59.9761,59.9774
00:21.1,59.9769,59.9756,59.9782
00:21.2,59.9767,59.9759,59.9774
00:21.3,59.9762,59.9758,59.9768
00:21.4,59.9766,59.976,59.976
00:21.5,59.9758,59.9754,59.9759
00:21.6,59.9757,59.9755,59.9761
00:21.7,59.977,59.975,59.975
00:21.8,59.9754,59.9752,59.9751
00:21.9,59.9758,59.9755,59.9756
00:22.0,59.9758,59.9758,59.9759
00:22.1,59.9759,59.9759,59.9759
00:22.2,59.9752,59.976,59.9755
00:22.3,59.9755,59.975,59.9751
00:22.4,59.9749,59.9761,59.9752
00:22.5,59.9747,59.9757,59.9749
00:22.6,59.9747,59.9759,59.9743
00:22.7,59.9756,59.9758,59.9743
00:22.8,59.9751,59.9759,59.9746
00:22.9,59.974,59.9756,59.9739
00:23.0,59.9737,59.9757,59.9747
00:23.1,59.9752,59.9754,59.9746
00:23.2,59.9751,59.9755,59.9747
00:23.3,59.9751,59.9752,59.9751
00:23.4,59.975,59.9754,59.9756
00:23.5,59.9759,59.9752,59.9755
00:23.6,59.9747,59.9749,59.9755
00:23.7,59.9763,59.9748,59.9757
00:23.8,59.9766,59.9755,59.9752
00:23.9,59.9754,59.9753,59.9751
00:24.0,59.9745,59.9754,59.975
00:24.1,59.9753,59.9751,59.9744
00:24.2,59.9745,59.9744,59.9739
00:24.3,59.9742,59.9748,59.974
00:24.4,59.9744,59.9754,59.9742
00:24.5,59.9735,59.9749,59.9739
00:24.6,59.9731,59.9748,59.9746
00:24.7,59.9744,59.9743,59.9743
00:24.8,59.9737,59.9742,59.9744
00:24.9,59.9746,59.9743,59.9738
00:25.0,59.9736,59.9743,59.9738
00:25.1,59.9735,59.9734,59.9736
00:25.2,59.9735,59.9739,59.9736
00:25.3,59.9737,59.9736,59.9733
00:25.4,59.9756,59.973,59.9728
00:25.5,59.9729,59.9726,59.973
00:25.6,59.9732,59.9726,59.9719
00:25.7,59.9729,59.9727,59.9727
00:25.8,59.9743,59.9724,59.972
00:25.9,59.9729,59.9732,59.973
00:26.0,59.9724,59.9726,59.9729
00:26.1,59.9713,59.9724,59.9722
00:26.2,59.9729,59.9722,59.9724
00:26.3,59.9716,59.9727,59.9723
00:26.4,59.9722,59.972,59.973
00:26.5,59.9731,59.9724,59.9726
00:26.6,59.9719,59.9719,59.9724
00:26.7,59.9729,59.9716,59.9729
00:26.8,59.9733,59.9718,59.9733
